"filename", "language", "PHP", "CSS", "YAML", "JSON", "Docker", "Ignore", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"u:\Projects\Laravel Projects\URLShortener\resources\views\livewire\admin-users-table.blade.php", "PHP", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 87
"u:\Projects\Laravel Projects\URLShortener\resources\views\livewire\search.blade.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 59
"u:\Projects\Laravel Projects\URLShortener\resources\views\livewire\summary-stats.blade.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"u:\Projects\Laravel Projects\URLShortener\resources\views\login.blade.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"u:\Projects\Laravel Projects\URLShortener\resources\views\mainProfile.blade.php", "PHP", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 99
"u:\Projects\Laravel Projects\URLShortener\resources\views\manage-avatar-form.blade.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"u:\Projects\Laravel Projects\URLShortener\resources\views\premiumwelc.blade.php", "PHP", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 93
"u:\Projects\Laravel Projects\URLShortener\resources\views\welcome.blade.php", "PHP", 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 278
"u:\Projects\Laravel Projects\URLShortener\routes\api.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"u:\Projects\Laravel Projects\URLShortener\routes\console.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"u:\Projects\Laravel Projects\URLShortener\routes\web.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 0, 0, 36, 15, 119
"u:\Projects\Laravel Projects\URLShortener\tests\Feature\ExampleTest.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"u:\Projects\Laravel Projects\URLShortener\tests\TestCase.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"u:\Projects\Laravel Projects\URLShortener\tests\Unit\ExampleTest.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 17
"u:\Projects\Laravel Projects\URLShortener\vite.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"Total", "-", 3437, 148, 6, 10778, 11, 29, 133, 31, 60, 1183, 715, 16531
